dup_file_id,group_id,confidence,signal,file_name,size_bytes,exif_datetime,hash,hash_confirmed,full_path
"dupId0001",1,"very-high","same exif date+time + filename + size","20181129_103309.jpg",3091767,"2018-11-29 10:33:09","216fe683302038e6c48b38c756237ab5fcbaca1f95b69ddaf2f6e9d5337b391d","yes","/run/media/carl/A1-2026-05/new/dev-images/images/c/carl/20181129_103309.jpg"
"dupId0002",1,"very-high","same exif date+time + filename + size","20181129_103309.jpg",3091767,"2018-11-29 10:33:09","216fe683302038e6c48b38c756237ab5fcbaca1f95b69ddaf2f6e9d5337b391d","yes","/run/media/carl/A1-2026-05/new/dev-images/images/m/tvc-session-images/20181129_103309.jpg"
"dupId0003",2,"very-high","same exif date+time + filename + size","20181129_103332.jpg",3516061,"2018-11-29 10:33:32","ca809fdd3e468ba7f3baff729ab8a358e58be518be6dea9e53e49e3ad4334ef5","yes","/run/media/carl/A1-2026-05/new/dev-images/images/c/carl/20181129_103332.jpg"
"dupId0004",2,"very-high","same exif date+time + filename + size","20181129_103332.jpg",3516061,"2018-11-29 10:33:32","ca809fdd3e468ba7f3baff729ab8a358e58be518be6dea9e53e49e3ad4334ef5","yes","/run/media/carl/A1-2026-05/new/dev-images/images/m/tvc-session-images/20181129_103332.jpg"
"dupId0005",3,"very-high","same exif date+time + filename + size","20181129_103344.jpg",2906932,"2018-11-29 10:33:44","e26d5d1323ebe0ef672363fe5ecb0f60e6b1febda1e8878cc0fe02a8bef82ccd","yes","/run/media/carl/A1-2026-05/new/dev-images/images/c/carl/20181129_103344.jpg"
"dupId0006",3,"very-high","same exif date+time + filename + size","20181129_103344.jpg",2906932,"2018-11-29 10:33:44","e26d5d1323ebe0ef672363fe5ecb0f60e6b1febda1e8878cc0fe02a8bef82ccd","yes","/run/media/carl/A1-2026-05/new/dev-images/images/m/tvc-session-images/20181129_103344.jpg"
"dupId0007",4,"very-high","same exif date+time + filename + size","20181129_111439.jpg",2403480,"2018-11-29 11:14:39","01ccec4154603bed5b868bdb887d15ad39404dd83b5d31c8e1407a62e4aa4b07","yes","/run/media/carl/A1-2026-05/new/dev-images/images/c/carl/20181129_111439.jpg"
"dupId0008",4,"very-high","same exif date+time + filename + size","20181129_111439.jpg",2403480,"2018-11-29 11:14:39","01ccec4154603bed5b868bdb887d15ad39404dd83b5d31c8e1407a62e4aa4b07","yes","/run/media/carl/A1-2026-05/new/dev-images/images/m/tvc-session-images/20181129_111439.jpg"
"dupId0009",5,"very-high","same exif date+time + filename + size","20181129_111445.jpg",2559238,"2018-11-29 11:14:45","24fc872a331997320b2f16ab189e3b04a39761895e669fbc2778464ea80ba6f6","yes","/run/media/carl/A1-2026-05/new/dev-images/images/c/carl/20181129_111445.jpg"
"dupId0010",5,"very-high","same exif date+time + filename + size","20181129_111445.jpg",2559238,"2018-11-29 11:14:45","24fc872a331997320b2f16ab189e3b04a39761895e669fbc2778464ea80ba6f6","yes","/run/media/carl/A1-2026-05/new/dev-images/images/m/tvc-session-images/20181129_111445.jpg"
"dupId0011",6,"very-high","same exif date+time + filename + size","20181129_111523.jpg",3418787,"2018-11-29 11:15:23","bb16fd969641260fbf20ada887a344f09a720fa67a0083c441438a68098a29a6","yes","/run/media/carl/A1-2026-05/new/dev-images/images/c/carl/20181129_111523.jpg"
"dupId0012",6,"very-high","same exif date+time + filename + size","20181129_111523.jpg",3418787,"2018-11-29 11:15:23","bb16fd969641260fbf20ada887a344f09a720fa67a0083c441438a68098a29a6","yes","/run/media/carl/A1-2026-05/new/dev-images/images/m/tvc-session-images/20181129_111523.jpg"
"dupId0013",7,"very-high","same exif date+time + filename + size","DSCN1505_06-58-41.NEF",8023561,"2003-09-17 06:58:41","0765752f6a847e6275a1ddb2e94746ed5428909dd438e8369c1590eaf3106433","yes","/run/media/carl/A1-2026-05/new/photos/2003/2003-09-17/04:27:04/DSCN1505_06-58-41.NEF"
"dupId0014",7,"very-high","same exif date+time + filename + size","DSCN1505_06-58-41.NEF",8023561,"2003-09-17 06:58:41","0765752f6a847e6275a1ddb2e94746ed5428909dd438e8369c1590eaf3106433","yes","/run/media/carl/A1-2026-05/new/photos/2003/2003-09-17/06:58:41/DSCN1505_06-58-41.NEF"
